District_Name,Market_Name,Month,Year,Rain,Modal_Price
HASSAN,Arasikere,December,2019,25.2,975
HASSAN,Arasikere,April,2020,47.2,750
HASSAN,Arasikere,December,2020,16.4,1000
HASSAN,Arasikere,January,2020,0.2,1000
HASSAN,Arasikere,April,2019,41.9,1000
HASSAN,Arasikere,November,2019,20.9,1000
HASSAN,Arasikere,January,2015,0.02,1000
CHIKKAMAGALURU,Bagepalli,June,2017,125.51,745
CHIKKAMAGALURU,Bagepalli,October,2016,103.47,280
CHIKKAMAGALURU,Bagepalli,March,2016,88.87,180
CHIKKAMAGALURU,Bagepalli,February,2016,9.68,200
CHIKKAMAGALURU,Bagepalli,March,2016,88.87,190
CHIKKAMAGALURU,Bagepalli,March,2018,38,395
CHIKKAMAGALURU,Bagepalli,February,2018,1.4,348
CHIKKAMAGALURU,Bagepalli,February,2016,9.68,260
CHIKKAMAGALURU,Bagepalli,January,2015,0.52,300
CHIKKAMAGALURU,Bagepalli,January,2017,0.01,340
CHIKKAMAGALURU,Bagepalli,December,2017,125.51,395
CHIKKAMAGALURU,Bagepalli,February,2018,1.4,465
CHIKKAMAGALURU,Bagepalli,March,2016,88.87,300
CHIKKAMAGALURU,Bagepalli,August,2016,103.47,430
CHIKKAMAGALURU,Bagepalli,March,2018,38,450
CHIKKAMAGALURU,Bagepalli,March,2018,38,460
CHIKKAMAGALURU,Bagepalli,January,2019,0,380
CHIKKAMAGALURU,Bagepalli,April,2017,10.93,460
CHIKKAMAGALURU,Bagepalli,January,2019,0,410
CHIKKAMAGALURU,Bagepalli,March,2015,37.83,400
CHIKKAMAGALURU,Bagepalli,March,2015,37.83,400
CHIKKAMAGALURU,Bagepalli,May,2018,254.6,580
CHIKKAMAGALURU,Bagepalli,April,2018,64.8,620
CHIKKAMAGALURU,Bagepalli,August,2016,103.47,540
CHIKKAMAGALURU,Bagepalli,January,2017,0.01,620
CHIKKAMAGALURU,Bagepalli,January,2017,0.01,860
CHIKKAMAGALURU,Bagepalli,February,2017,14.65,650
CHIKKAMAGALURU,Bagepalli,February,2017,14.65,710
CHIKKAMAGALURU,Bagepalli,May,2018,254.6,710
CHIKKAMAGALURU,Bagepalli,February,2019,8.6,425
CHIKKAMAGALURU,Bagepalli,September,2018,111.2,465
CHIKKAMAGALURU,Bagepalli,February,2019,8.6,650
CHIKKAMAGALURU,Bagepalli,April,2016,4.75,450
CHIKKAMAGALURU,Bagepalli,February,2015,20.42,500
CHIKKAMAGALURU,Bagepalli,August,2015,92.98,500
CHIKKAMAGALURU,Bagepalli,March,2017,99.92,750
